simulation_id,geometry_type,geometry_parameters,thickness_h,length_Lx,length_Ly,k_low,k_high,boundary_condition_id,T_hot,T_air,measurement_wx,measurement_wy,electrode_min_gap,x_hot_electrode,y_hot_electrode,x_cold_electrode,y_cold_electrode,T_hot_electrode_avg,T_cold_electrode_avg,delta_T_parallel,heat_flux_redirect_ratio,mesh_element_count,qc_pass,field_file
sim_51e42eab,uniform,"{""geometry_type"": ""uniform"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_val"": 0.5, ""volume_fraction_high"": 0.0}",0.002,0.01,0.01,0.5,0.5,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00475,0.00525,0.00975,0.00025,347.88663477013444,345.6363159422298,2.250318827904607,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_51e42eab.h5
sim_15c07699,3d_wedge,"{""geometry_type"": ""3d_wedge"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00675,0.00725,0.00025,0.00025,349.9911887628552,345.659771414812,4.331417348043203,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_15c07699.h5
sim_rand_4e1970ba,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.3078824598088377, ""blur_sigma"": 2.5893071202139115}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00475,0.00525,0.00975,0.00025,349.9612995358385,346.62684851010937,3.334451025729152,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_4e1970ba.h5
sim_rand_a939dc13,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.4124400836776179, ""blur_sigma"": 2.374182825471178}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00525,0.00875,0.00025,0.00025,349.97508164936994,347.43769535561955,2.5373862937503873,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_a939dc13.h5
sim_rand_c80c6e46,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.5222240993763595, ""blur_sigma"": 2.646922127759103}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00625,0.00925,0.00475,0.00025,349.9829011749916,348.194440428825,1.7884607461666064,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_c80c6e46.h5
sim_rand_1bc8a100,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.4433485791649948, ""blur_sigma"": 1.9236891449283704}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00625,0.00075,0.00025,0.00025,349.97706342656477,348.0294930872933,1.947570339271465,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_1bc8a100.h5
sim_rand_7dbd43ee,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.4495611708783085, ""blur_sigma"": 2.3763877979873644}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00375,0.00425,0.00375,0.00975,349.98652710310347,348.26855207861087,1.7179750244926026,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_7dbd43ee.h5
sim_rand_dd2d628f,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.6548529400272832, ""blur_sigma"": 2.2384813020778798}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00225,0.00575,0.00025,0.00025,349.9859971775314,347.94402585593434,2.041971321597032,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_dd2d628f.h5
sim_rand_ddd13092,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.6975915457459362, ""blur_sigma"": 1.6848357209285545}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00775,0.00575,0.00975,0.00025,349.98385766338305,348.86629415748973,1.117563505893315,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_ddd13092.h5
sim_rand_f8787597,random_smoothed,"{""geometry_type"": ""random_smoothed"", ""Lx"": 0.01, ""Ly"": 0.01, ""h"": 0.002, ""k_low"": 0.5, ""k_high"": 150.0, ""volume_fraction_target"": 0.36011504357486906, ""blur_sigma"": 3.340886171035182}",0.002,0.01,0.01,0.5,150.0,BC-001-TOP-ELECTRODE,350.0,298.15,0.0005,0.0005,0.0005,0.00775,0.00475,0.00025,0.00975,349.97495262579054,347.3000729933133,2.674879632477257,,,True,/Users/apple/Library/CloudStorage/OneDrive-个人/git/TE_film/data/simulations/fields/sim_rand_f8787597.h5
